epoch,train_loss,valid_loss,mod_dice_multi,time
0,0.020016351714730263,0.01545471791177988,0.8104698834607678,17:21
1,0.018919911235570908,0.015948794782161713,0.8095537019187903,17:06
2,0.01839659921824932,0.014761030673980713,0.807789747796759,17:04
3,0.016381796449422836,0.01491414662450552,0.8189138739423263,17:09
4,0.01640891470015049,0.014901944436132908,0.819177286720297,17:08
