epoch,train_loss,valid_loss,mod_dice_multi,kaggle_dice,time
0,0.025172945111989975,0.02305351011455059,0.14327467318493747,0.28812807327785117,34:44
1,0.02516821026802063,0.02280939742922783,0.13582697514049463,0.28641653976251596,34:38
2,0.022333800792694092,0.022840574383735657,0.13543007881403393,0.2868590449113615,34:45
3,0.02881218120455742,0.022706380113959312,0.1392969567442109,0.29238641769564916,34:41
